taxonomy	Sample_01	Sample_02	Sample_03	Sample_04	Sample_05	Sample_06	Sample_07	Sample_08	Sample_09	Sample_10	Sample_11	Sample_12
g__Bacteroides	119.7	74.7	69.1	69.1	232.5	143.3	56.6	123.5	99.9	10.8	33.6	105.3
g__Prevotella	252.6	299.8	306.9	326.6	110.1	225.9	346.1	239.8	280.3	381.3	361.2	261.1
g__Faecalibacterium	140.7	94.9	76.1	65.4	57.0	171.9	106.1	60.9	46.8	129.4	169.2	159.1
g__Roseburia	113.5	81.9	52.7	73.2	35.5	125.4	96.4	56.6	43.7	109.8	135.2	118.3
g__Blautia	69.9	108.6	41.3	55.0	157.5	106.4	89.8	162.8	45.7	63.9	103.9	101.3
g__Akkermansia	21.3	59.0	73.3	112.2	101.1	78.6	10.7	81.6	87.3	364.9	71.5	104.4
g__Escherichia	181.0	141.9	210.6	21.6	34.4	51.9	18.0	87.8	37.0	228.8	42.3	64.2
g__Bifidobacterium	147.6	26.5	16.7	95.8	101.3	144.7	121.8	104.0	46.7	99.2	103.7	45.2
g__Ruminococcus	271.1	117.8	34.9	145.2	162.3	112.9	68.5	43.5	78.5	107.4	84.2	216.8
g__Lactobacillus	130.6	39.3	31.6	118.5	69.7	138.4	117.8	78.7	39.8	18.8	97.9	26.0
g__Fusobacterium	38.3	93.7	87.1	29.2	174.6	171.5	121.2	121.1	121.2	161.3	132.8	42.7
g__Streptococcus	69.0	339.8	11.6	56.4	175.2	45.2	135.3	86.3	48.0	9.1	96.0	41.9
g__Veillonella	76.1	120.4	152.6	56.3	47.9	25.6	157.7	309.1	169.3	194.8	45.5	115.4
g__Clostridium	144.0	33.2	239.4	20.9	215.3	20.8	34.7	116.9	87.9	60.9	233.4	26.2
g__Alistipes	73.9	127.4	102.8	49.3	50.8	151.1	155.9	104.8	40.5	52.2	82.0	91.1
